Timestamp,Username,VideoID,Comment,Date
2025-01-12T04:05:25Z,@Jevano_livia,UUGY64rPLxo,Anjay,2025-01-12T04:05:25Z
2025-01-12T01:46:00Z,@marshaldhiya12,UUGY64rPLxo,yang kecanduan nonton sampe 2025 merapat,2025-01-12T01:46:00Z
2025-01-11T10:33:50Z,@ArsyLa-e9y,UUGY64rPLxo,Seru denger nya❤,2025-01-11T10:33:50Z
2025-01-10T08:30:27Z,@debuinbelitung7927,UUGY64rPLxo,"Lirik lagu, :
Malam ini rahasia ya
Kamu tak boleh bilang siapa-siapa
Datang ke sini juga rahasia
Terus sekarang mau apa?

Ah, di cahaya bulan (Misterius)
Ah, awan menghiasi (Mengundang)
Ayo ke sini, apakah yang kau mau?
Ke taman bunga para gadis
Rasa madu adalah rahasianya
Ya (Ya)
Ini janji yang terlarang
Ketakutan (Juga was-was)
Terasa, 'kan? (Ya, terasa)
Permainan berbahaya

Tiba-tiba saling memandang
Kenapa? (Kenapa?)
Hanya terdiam saja, kah?
Tangan yang (Diulurkan)
Bersentuhan (Kita bagai)
Sari bunga dan kupu-kupu malam
Aku tak biasa punya rahasia
Nanti pasti 'kan dimarahi mama
Rahasia bukanlah masalah
Nikmati sajalah saat ini

Ah, bunga yang tak pernah (Aku lihat)
Ah, aromanya itu (Manisnya)
Jangan menggodaku, akan aku ajari
Di taman bunga para gadis
Cinta itu 'kan selalu immoral
Hei (Hei)
Bibir yang mulai mendekat
Tidak boleh (Ah, boleh lah)
Jangan ah (Ih, lucunya)
Kita telah melewati
Batasnya dan saling mencinta
Sudah (Sudah)
Nafas pun menjadi panjang
Panas sekali (Insting ini)
Menakutkan...¹ ²",2025-01-10T08:30:27Z
2025-01-08T10:23:36Z,@frizzz3896,UUGY64rPLxo,muthe model seriusss cakepp juga😅,2025-01-08T10:23:36Z
2025-01-07T14:50:08Z,@adesinta9454,UUGY64rPLxo,Anjay panjang bgt,2025-01-07T14:50:08Z
2025-01-05T17:26:26Z,@NAr-ql2hu,UUGY64rPLxo,huekk malah LGBT kata guru gembul gak boleh LGBT k*ntol,2025-01-05T17:26:26Z
2025-01-11T03:26:35Z,@Christyyyy-bt5ps,UUGY64rPLxo,"Ini bukan lgbt, ini menceritakan tentang salah pergaulan",2025-01-11T03:26:35Z
2025-01-11T03:35:10Z,@NAr-ql2hu,UUGY64rPLxo,"@Christyyyy-bt5ps  guru gembul aja bilang ini lgbt, makanya nonton videonya guru gembul",2025-01-11T03:35:10Z
2025-01-05T12:43:43Z,@Siap86_,UUGY64rPLxo,"Yang bilang ini ceritanya mengarah ke LGTV fix otaknya udah gak beres, jelas2 ini lagu bukan mengarah kesitu😂",2025-01-05T12:43:43Z
2025-01-05T08:49:44Z,@aulanihanafi4914,UUGY64rPLxo,"Gak perlu dibias²in komen anda, ini memang dari visualisasinya mengarah ke LBGTQ",2025-01-05T08:49:44Z
2025-01-05T10:40:09Z,@Melvinbryanchiri,UUGY64rPLxo,Jelas sekali bapak nya ga ngerti lagunya artinya apa..dikit2 lgbt kalo sama cowok nanti dikata haram dasar tua,2025-01-05T10:40:09Z
2025-01-05T10:56:12Z,@aulanihanafi4914,UUGY64rPLxo,"@Melvinbryanchiri iya si ya, emang liriknya aja udah gak bener 🤣",2025-01-05T10:56:12Z
