,ID,ParentID,Timestamp,Username,Comment,LikeCount,ReplyCount,Date,Comment_clean,Comment_size,Sentiment,Confidence
14134,UgzWvu72I8m9-U8pq8F4AaABAg,,2023-03-14T11:13:13Z,@onthebluesky,"Guys, lagu ini bukan tentang LGBT, tapi tentang seorang gadis muda yg beranjak dewasa mulai hilang kepolosannya karena mulai terpengaruh hal-hal jahat. Penggambarannya bisa dilihat di video si gadis asalnya pake baju warna putih polos dan kemudian berubah bajunya jadi lebih dark gelap karena tergoda oleh kejahatan dilambangkan 4 orang berbaju warna merah. Jadi, amanatnya jgn tergoda dan tertipu daya oleh setan, biarkan yg putih tetap putih. Dari lirik lagunya juga menggambarkan dialog keraguan dan kepolosan saat si gadis mulai tumbuh dewasa jgn sampai tergoda rayuan jahat.",19401,751,2023-03-14T11:13:13Z,"Guys, lagu ini bukan tentang LGBT, tapi tentang seorang gadis muda yg beranjak dewasa mulai hilang kepolosannya karena mulai terpengaruh hal-hal jahat. Penggambarannya bisa dilihat di video si gadis asalnya pake baju warna putih polos dan kemudian berubah bajunya jadi lebih dark gelap karena tergoda oleh kejahatan dilambangkan 4 orang berbaju warna merah. Jadi, amanatnya jgn tergoda dan tertipu daya oleh setan, biarkan yg putih tetap putih. Dari lirik lagunya juga menggambarkan dialog keraguan dan kepolosan saat si gadis mulai tumbuh dewasa jgn sampai tergoda rayuan jahat.",579,positive,0.0
13411,Ugxb2yPnhvOFAaF_b2d4AaABAg,,2023-03-14T13:56:21Z,@driezkh,"Performance Videonya kaya memberitahu kita tentang dampak buruk dari salah pergaulan.
Si baju putih mungkin melambangkan seorang yg masih suci atau belum terpapar hal negatif, ia juga menunjukan ekspresi wajah yang innocent, background bulan biru dan beat musik yang mendayu pelan diawal memberi kesan ketenangan, tapi sebuah ketenangan yg misterius, seakan bakal ada sesuatu yg terjadi.

Dan benar sekali, saat 4 temannya yang berbaju merah muncul, beat musik berubah, si putih mulai dirayu dan dipengaruhi untuk melakukan hal hal dewasa oleh mereka, saat itu si putih terlihat masih kebingungan dengan apa yang terjadi dan selalu menolak/memalingkan wajah tiap kali 4 temannya menggoda bahkan mencoba menciumnya ( 1:30, 1:48, 2:03, 3:06)
Si putih juga terlihat sempat ingin melarikan diri dari sana tapi kembali lagi karna ditangkap si merah (2:13)

Seiring berjalannya waktu, setelah berkali-kali dirayu dan dipengaruhi, akhirnya si putih perlahan luluh, hatinya mulai goyah dan ia malah berbalik penasaran terhadap 𝘽𝙪𝙣𝙜𝙖 𝙮𝙖𝙣𝙜 𝙩𝙖𝙠 𝙥𝙚𝙧𝙣𝙖𝙝 𝙙𝙞𝙡𝙞𝙝𝙖𝙩, 𝙧𝙖𝙨𝙖 𝙢𝙖𝙙𝙪, 𝙙𝙖𝙣 𝙩𝙖𝙢𝙖𝙣 𝙗𝙪𝙣𝙜𝙖 𝙥𝙖𝙧𝙖 𝙜𝙖𝙙𝙞𝙨 Mungkin baris lirik itu adalah sebuah kata kiasan yang bisa dimaknai sebagai hal-hal yg belum pernah siputih ketahui sebelumnya, dan dia ingin mengetahui hal itu(2:45)
dari rasa penasaran itulah yg akhirnya membawanya mencari tau lebih lagi, apalagi teman-temannya juga dengan senang hati bersedia untuk mengajari, meskipun jauh didalam diri si putih sadar kalau ini telah ""melewati batas"", sayangnya rasa penasarannya jauh lebih kuat dan mengalahkan akal sehatnya (3:13)

puncaknya, si putih akhirnya terbawa ikut untuk melakukan apa yg disebut sebagai hal immoral dilagu ini, dan iapun terjerumus ke dalam pergaulan yang mengubah kehidupan innocent-nya selamanya ( tergambarkan lewat gesture ciuman yg tidak lagi ditolak oleh si putih, baju yg berubah model & warna jadi hitam, gerakan belly dance, background bulan yang terbakar 3:30)

Pesannya, ya hati hati dalam bergaul atau memilih circle, karna betapa bahayanya teman dan lingkungan yang bad influence. Gak peduli sepolos apapun lu kalau dipapar hal tidak baik terus menerus, suatu saat akan penasaran dan terjerumus juga kalau gak kuat kuat banget jaga prinsip.

Orang awam mungkin menganggap PV ini tentang lesbian cuma karna yang memerankan cewek semua (padahal JKT48 emang cewek semua) coba ganti sudut pandang kita dengan mengubah 4 orang teman itu jadi laki-laki, dan si putih itu cewek seorang diri, maka mungkin kita akan sadar kalau hal ini sangat familiar dan sering terjadi disekitar kita.
Si putih itu bisa jadi adik lu, kaka lu, sepupu lu, tetangga lu, bahkan diri lu sendiri. atau bahkan lu bisa jadi salah satu dari si merah.
𝙇𝙖𝙜𝙞𝙥𝙪𝙡𝙖 𝙨𝙚𝙠𝙖𝙡𝙞𝙥𝙪𝙣 𝙨𝙪𝙙𝙪𝙩 𝙥𝙖𝙣𝙙𝙖𝙣𝙜 𝙙𝙞𝙪𝙗𝙖𝙝 𝙢𝙚𝙣𝙟𝙖𝙙𝙞 ""𝙣𝙤𝙧𝙢𝙖𝙡"", 𝙨𝙚𝙗𝙚𝙣𝙚𝙧𝙣𝙮𝙖 𝙣𝙜𝙜𝙖𝙠 𝙨𝙚𝙧𝙩𝙖 𝙢𝙚𝙧𝙩𝙖 𝙢𝙚𝙢𝙗𝙪𝙖𝙩𝙣𝙮𝙖 𝙢𝙚𝙣𝙟𝙖𝙙𝙞 𝙗𝙚𝙣𝙖𝙧 𝙨𝙞𝙝, 𝙠𝙖𝙣 𝙞𝙣𝙞 𝙚𝙢𝙖𝙣𝙜 𝙡𝙖𝙜𝙪 𝙩𝙚𝙣𝙩𝙖𝙣𝙜 𝙥𝙚𝙧𝙜𝙖𝙪𝙡𝙖𝙣 𝙗𝙚𝙗𝙖𝙨 𝙖𝙡𝙞𝙖𝙨 𝙝𝙖𝙡 𝙮𝙜 𝙩𝙞𝙙𝙖𝙠 𝙗𝙖𝙞𝙠, 𝙟𝙖𝙙𝙞 𝙢𝙖𝙪 𝙞𝙩𝙪 𝙘𝙤𝙬𝙤𝙠 𝙙𝙚𝙣𝙜𝙖𝙣 𝙘𝙚𝙬𝙚𝙠, 𝙘𝙚𝙬𝙚𝙠 𝙙𝙚𝙣𝙜𝙖𝙣 𝙘𝙚𝙬𝙚𝙠, 𝙘𝙤𝙬𝙤𝙠 𝙙𝙚𝙣𝙜𝙖𝙣 𝙘𝙤𝙬𝙤𝙠, 𝙙𝙨𝙗. 𝙔𝙖 𝙩𝙚𝙩𝙚𝙥 𝙜𝙖 𝙙𝙞𝙗𝙚𝙣𝙖𝙧𝙠𝙖𝙣

Dan soal unsur erotisme dalam video, sebenernya kalau dicermati adegan dalam video itu bener bener pure cuma memvisualisasikan apa yang tertulis dalam lirik, dan kalau emang mau dipandang lewat kacamata seni, sebenarnya ada yang namanya seni erotis, sayangnya masalah erotisme sering didefinisikan sebagai pornografi di beberapa tempat, padahal keduanya berdiri sendiri-sendiri dalam batas penalaran. alias semua bergantung pada perspektif pemikiran orang yang menalar. Hehe

Demikian opini absurd gw, gw mau dngerin lagunya lagi enak bet soalnya 🤣",2319,70,2023-03-20T17:56:27Z,"Performance Videonya kaya memberitahu kita tentang dampak buruk dari salah pergaulan. Si baju putih mungkin melambangkan seorang yg masih suci atau belum terpapar hal negatif, ia juga menunjukan ekspresi wajah yang innocent, background bulan biru dan beat musik yang mendayu pelan diawal memberi kesan ketenangan, tapi sebuah ketenangan yg misterius, seakan bakal ada sesuatu yg terjadi. Dan benar sekali, saat 4 temannya yang berbaju merah muncul, beat musik berubah, si putih mulai dirayu dan dipengaruhi untuk melakukan hal hal dewasa oleh mereka, saat itu si putih terlihat masih kebingungan dengan apa yang terjadi dan selalu menolak/memalingkan wajah tiap kali 4 temannya menggoda bahkan mencoba menciumnya ( 1:30, 1:48, 2:03, 3:06) Si putih juga terlihat sempat ingin melarikan diri dari sana tapi kembali lagi karna ditangkap si merah (2:13) Seiring berjalannya waktu, setelah berkali-kali dirayu dan dipengaruhi, akhirnya si putih perlahan luluh, hatinya mulai goyah dan ia malah berbalik penasaran terhadap , , Mungkin baris lirik itu adalah sebuah kata kiasan yang bisa dimaknai sebagai hal-hal yg belum pernah siputih ketahui sebelumnya, dan dia ingin mengetahui hal itu(2:45) dari rasa penasaran itulah yg akhirnya membawanya mencari tau lebih lagi, apalagi teman-temannya juga dengan senang hati bersedia untuk mengajari, meskipun jauh didalam diri si putih sadar kalau ini telah ""melewati batas"", sayangnya rasa penasarannya jauh lebih kuat dan mengalahkan akal sehatnya (3:13) puncaknya, si putih akhirnya terbawa ikut untuk melakukan apa yg disebut sebagai hal immoral dilagu ini, dan iapun terjerumus ke dalam pergaulan yang mengubah kehidupan innocent-nya selamanya ( tergambarkan lewat gesture ciuman yg tidak lagi ditolak oleh si putih, baju yg berubah model & warna jadi hitam, gerakan belly dance, background bulan yang terbakar 3:30) Pesannya, ya hati hati dalam bergaul atau memilih circle, karna betapa bahayanya teman dan lingkungan yang bad influence. Gak peduli sepolos apapun lu kalau dipapar hal tidak baik terus menerus, suatu saat akan penasaran dan terjerumus juga kalau gak kuat kuat banget jaga prinsip. Orang awam mungkin menganggap PV ini tentang lesbian cuma karna yang memerankan cewek semua (padahal JKT48 emang cewek semua) coba ganti sudut pandang kita dengan mengubah 4 orang teman itu jadi laki-laki, dan si putih itu cewek seorang diri, maka mungkin kita akan sadar kalau hal ini sangat familiar dan sering terjadi disekitar kita. Si putih itu bisa jadi adik lu, kaka lu, sepupu lu, tetangga lu, bahkan diri lu sendiri. atau bahkan lu bisa jadi salah satu dari si merah. """", , , , , , . Dan soal unsur erotisme dalam video, sebenernya kalau dicermati adegan dalam video itu bener bener pure cuma memvisualisasikan apa yang tertulis dalam lirik, dan kalau emang mau dipandang lewat kacamata seni, sebenarnya ada yang namanya seni erotis, sayangnya masalah erotisme sering didefinisikan sebagai pornografi di beberapa tempat, padahal keduanya berdiri sendiri-sendiri dalam batas penalaran. alias semua bergantung pada perspektif pemikiran orang yang menalar. Hehe Demikian opini absurd gw, gw mau dngerin lagunya lagi enak bet soalnya",3522,positive,0.0
21823,UgzCYP-5eQOScO828UZ4AaABAg,,2023-03-13T13:16:02Z,@adanjir1923,"Satu persatu member diberikan kesempatan  buat menunjukan potensinya. biar gk pada mengiri wotanya😊 semakin kreatif, semakin keren. SEMANGAT JKT48 semoga semakin jaya jaya jaya",1885,63,2023-03-13T13:16:02Z,"Satu persatu member diberikan kesempatan buat menunjukan potensinya. biar gk pada mengiri wotanya semakin kreatif, semakin keren. SEMANGAT JKT48 semoga semakin jaya jaya jaya",176,positive,0.9722257852554321
16959,UgwQ0xdL1_z3bGf9UM94AaABAg,,2023-03-14T05:24:15Z,@Jkt48990,"fiks, kalau kedepan jkt48 release single MVnya gak usah jauh2 ke luar.. yang penting kostum, konsep , cerita dan pengambilan gambar serta editing yang harus bener2 dimatengin.. pasti bakal sangat menarik",1863,80,2023-03-14T05:24:15Z,"fiks, kalau kedepan jkt48 release single MVnya gak usah jauh2 ke luar.. yang penting kostum, konsep , cerita dan pengambilan gambar serta editing yang harus bener2 dimatengin.. pasti bakal sangat menarik",203,positive,0.9965960383415222
2393,UgyO_jkZ191_KXd7EUR4AaABAg,,2023-10-21T18:45:55Z,@ahmadfikri5186,"Malam ini rahasia ya
Kamu tak boleh bilang siapa-siapa
Datang ke sini juga rahasia
Terus sekarang mau apa?

Ah, di cahaya bulan (Misterius)
Ah, awan menghiasi (Mengundang)
Ayo ke sini
Apakah yang kau mau?
Ke taman bunga para gadis

Rasa madu adalah rahasianya
Ya (Ya)
Ini janji yang terlarang
Ketakutan (Juga was-was)
Terasa, 'kan? (Ya, terasa)
Permainan berbahaya

Tiba-tiba saling memandang
Kenapa? (Kenapa?)
Hanya terdiam saja, kah?
Tangan yang (Diulurkan)
Bersentuhan (Kita bagai)
Sari bunga dan kupu-kupu malam

Aku tak biasa punya rahasia
Nanti pasti 'kan dimarahi mama
Rahasia bukanlah masalah
Nikmati sajalah saat ini

Ah, bunga yang tak pernah (Aku lihat)
Ah, aromanya itu (Manisnya)
Jangan menggodaku
Akan aku ajari
Di taman bunga para gadis

Cinta itu 'kan selalu immoral
Hei (Hei)
Bibir yang mulai mendekat
Tidak boleh (Ah, boleh lah)
Jangan ah (Ih, lucunya)

Kita telah melewati
Batasnya dan saling mencinta
Sudah (Sudah)
Nafas pun menjadi panjang
Panas sekali (Insting ini)
Menakutkan (Menyerahlah)
Sari bunga dan kupu-kupu malam

Rasa madu adalah rahasianya
Ya (Ya)
Ini janji yang terlarang
Ketakutan (Juga was-was)
Terasa, 'kan? (Ya, terasa)
Permainan berbahaya

Tiba-tiba saling memandang
Kenapa? (Kenapa?)
Hanya terdiam saja, kah?
Tangan yang (Diulurkan)
Bersentuhan (Kita bagai)
Sari bunga dan kupu-kupu malam",967,13,2023-10-21T18:45:55Z,"Malam ini rahasia ya Kamu tak boleh bilang siapa-siapa Datang ke sini juga rahasia Terus sekarang mau apa? Ah, di cahaya bulan (Misterius) Ah, awan menghiasi (Mengundang) Ayo ke sini Apakah yang kau mau? Ke taman bunga para gadis Rasa madu adalah rahasianya Ya (Ya) Ini janji yang terlarang Ketakutan (Juga was-was) Terasa, 'kan? (Ya, terasa) Permainan berbahaya Tiba-tiba saling memandang Kenapa? (Kenapa?) Hanya terdiam saja, kah? Tangan yang (Diulurkan) Bersentuhan (Kita bagai) Sari bunga dan kupu-kupu malam Aku tak biasa punya rahasia Nanti pasti 'kan dimarahi mama Rahasia bukanlah masalah Nikmati sajalah saat ini Ah, bunga yang tak pernah (Aku lihat) Ah, aromanya itu (Manisnya) Jangan menggodaku Akan aku ajari Di taman bunga para gadis Cinta itu 'kan selalu immoral Hei (Hei) Bibir yang mulai mendekat Tidak boleh (Ah, boleh lah) Jangan ah (Ih, lucunya) Kita telah melewati Batasnya dan saling mencinta Sudah (Sudah) Nafas pun menjadi panjang Panas sekali (Insting ini) Menakutkan (Menyerahlah) Sari bunga dan kupu-kupu malam Rasa madu adalah rahasianya Ya (Ya) Ini janji yang terlarang Ketakutan (Juga was-was) Terasa, 'kan? (Ya, terasa) Permainan berbahaya Tiba-tiba saling memandang Kenapa? (Kenapa?) Hanya terdiam saja, kah? Tangan yang (Diulurkan) Bersentuhan (Kita bagai) Sari bunga dan kupu-kupu malam",1328,positive,0.0
7362,UgwvJ2sGHB_EghrC2UZ4AaABAg,,2023-03-18T04:45:01Z,@ZeeaAndra-xt5wz,"Terlepas dari kontroversi yang ada, sejujurnya lagu ini adalah representasi dari realita yang ada sekarang. Banyak remaja disekitar kita yang dengan mudahnya tergoda akan hal"" dewasa yang seharusnya belum mereka lakukan ""terbawa arus"". Dan itu nggak terjadi hanya pada laki"" pada perempuan maupun sebaliknya, ada juga lho yang sesama jenis. Jadi sebenarnya ini juga menjadi pembelajaran bagi kita untuk mawas diri dan selalu memegang teguh prinsip yang kita punya. Masih ingat dengan viralnya banyaknya remaja yang mengajukan sidang nikah selama satu tahun. Saya rasa itu sudah menjelaskan betapa mirisnya pergaulan di sekitar kita sekarang. Dengan janji dan iming"" akan tanggung jawab saja sudah mau melepaskan hal yang paling berharga.

Dan jika melihat dri jumlah orang yang ada di PV ini juga menyadarkan bahwa godaan (si merah) bisa datang dari arah mana saja. Dan ketika kepolosan (si putih) sudah hilang maka akan sulit dikendalikan karena keliarannya.",915,30,2023-03-18T04:45:01Z,"Terlepas dari kontroversi yang ada, sejujurnya lagu ini adalah representasi dari realita yang ada sekarang. Banyak remaja disekitar kita yang dengan mudahnya tergoda akan hal"" dewasa yang seharusnya belum mereka lakukan ""terbawa arus"". Dan itu nggak terjadi hanya pada laki"" pada perempuan maupun sebaliknya, ada juga lho yang sesama jenis. Jadi sebenarnya ini juga menjadi pembelajaran bagi kita untuk mawas diri dan selalu memegang teguh prinsip yang kita punya. Masih ingat dengan viralnya banyaknya remaja yang mengajukan sidang nikah selama satu tahun. Saya rasa itu sudah menjelaskan betapa mirisnya pergaulan di sekitar kita sekarang. Dengan janji dan iming"" akan tanggung jawab saja sudah mau melepaskan hal yang paling berharga. Dan jika melihat dri jumlah orang yang ada di PV ini juga menyadarkan bahwa godaan (si merah) bisa datang dari arah mana saja. Dan ketika kepolosan (si putih) sudah hilang maka akan sulit dikendalikan karena keliarannya.",959,neutral,0.0
21953,UgxVu3fWTGRPwCcNblJ4AaABAg,,2023-03-13T13:14:58Z,@zahrasalsabila-kj1jd,"Terlepas dari hate comen 18+. Jujur ini suatu kemajuan banget buat JKT48. Mulai dari konsep musik, tema, baju, dll.
Ngeriii cuyy. Niat banget sampai stage teater diubah biar masuk ama konsep nya. 

Kalau ditanya suka atau enggak? gue suka banget....
ini jadi salah satu pembuktian kalau jkt48 enggak lagi main di zona nyaman nya. mereka udah berani ngangkat konsep yg mungkin bagi orang awam apalagi di indo jarang banget nemuin yg kaya gini. 


Love baget dehh buatan JOT & memeber",772,35,2023-03-13T13:14:58Z,"Terlepas dari hate comen 18+. Jujur ini suatu kemajuan banget buat JKT48. Mulai dari konsep musik, tema, baju, dll. Ngeriii cuyy. Niat banget sampai stage teater diubah biar masuk ama konsep nya. Kalau ditanya suka atau enggak? gue suka banget.... ini jadi salah satu pembuktian kalau jkt48 enggak lagi main di zona nyaman nya. mereka udah berani ngangkat konsep yg mungkin bagi orang awam apalagi di indo jarang banget nemuin yg kaya gini. Love baget dehh buatan JOT & memeber",482,positive,0.9949707388877869
5608,UgzDkQ_JkXRASbx5R7l4AaABAg,,2023-03-26T10:44:41Z,@ghassanfa4627,"Gila konsep MV nya keren banget, good job JKT48",759,5,2023-03-26T10:44:41Z,"Gila konsep MV nya keren banget, good job JKT48",47,positive,0.9964738488197327
21601,UgxYK-mYKNDeMXb4TWd4AaABAg,,2023-03-13T13:21:06Z,@abjadlyrics,Congrats JKT48 NEW ERA atas mini albumnya. JKT48 JAYA JAYA JAYA,722,8,2023-03-13T13:21:06Z,Congrats JKT48 NEW ERA atas mini albumnya. JKT48 JAYA JAYA JAYA,63,positive,0.5742639899253845
1897,UgzLNP0lzGrrs_DV3gF4AaABAg,,2023-12-30T00:17:52Z,@kumpulantutorial3428,"buay yg blg lesbi itu salah besar ya, ini tuh punya makna yang lumayan berat yg melambangkan anak yang tumbuh besar dan mulai tergoda oleh hal-hal yang dewasa, ""knpa ga pake model cowo??knpa harus cewe?orang ngiranya lesbi lah"". Nah klo pake model cowo dengan dance yg touching² gini termasuk pelecehan dan ga diperbolehkan,makanya ada yg berperan sebagai cowonya. ""ya klo gitu mending ga usah dibuat ga berfaedah"". Nah itu karya group band nya, dan sekali lgi ini punya makna yg berat dan edukasi yg bagus tersampaikan dari lirik dan dance nya. buat yg msih kritik berarti emang ga bisa menghargai karya seseorang. Semangat Terus jkt48 ditunggu karya² selanjutnya❤",669,20,2023-12-30T00:17:52Z,"buay yg blg lesbi itu salah besar ya, ini tuh punya makna yang lumayan berat yg melambangkan anak yang tumbuh besar dan mulai tergoda oleh hal-hal yang dewasa, ""knpa ga pake model cowo??knpa harus cewe?orang ngiranya lesbi lah"". Nah klo pake model cowo dengan dance yg touching gini termasuk pelecehan dan ga diperbolehkan,makanya ada yg berperan sebagai cowonya. ""ya klo gitu mending ga usah dibuat ga berfaedah"". Nah itu karya group band nya, dan sekali lgi ini punya makna yg berat dan edukasi yg bagus tersampaikan dari lirik dan dance nya. buat yg msih kritik berarti emang ga bisa menghargai karya seseorang. Semangat Terus jkt48 ditunggu karya selanjutnya",665,positive,0.0
